comm_id,comm_name,comm_age,sso,migration,exec_spsr,acct_geo,plat_tier,gold_tier,silv_tier,#_lang,#_features,enabled,case_count
a0C00000002vfu0,308,1.84,0,0,1,NA,1,0,0,1,4,1,12
a0C00000002hN2P,309,2.54,0,0,1,EMEA,0,1,0,11,1,1,20
a0C00000000Dn9v,310,7.29,1,0,1,NA,0,1,0,1,1,0,25
a0C00000001Cyxw,311,4.38,0,0,1,NA,1,0,0,1,4,1,11
a0C00000002wWih,312,1.75,0,0,1,NA,0,1,0,1,0,1,41
a0C00000000E8p5,313,6.81,1,0,1,NA,0,1,0,1,1,0,34
a0C00000002yMIi,314,1.61,0,0,1,NA,1,0,0,1,4,1,17
a0C00000000E5PK,315,6.92,1,0,1,NA,0,1,0,1,1,0,15
a0C00000000DkuZ,316,7.45,1,0,1,NA,0,1,0,1,1,0,26
a0C00000002wVS7,317,1.75,0,0,1,NA,1,0,0,1,4,1,13
a0C00000000E8wn,318,6.81,1,0,1,NA,0,1,0,1,1,0,18
a0C00000001zcGL,319,3.56,0,0,1,NA,1,0,0,1,5,1,18
a0C00000002hAEU,320,2.57,0,0,1,NA,1,0,0,1,5,0,24
a0C000000027mMA,321,3.35,1,0,1,NA,1,0,0,1,8,1,47
a0C00000000Dfek,322,8.03,1,0,1,EMEA,0,1,0,11,2,1,34
a0C000000022Eom,323,3.5,0,0,1,NA,1,0,0,1,5,1,42
a0C00000002pQQn,324,2.04,0,0,1,NA,1,0,0,1,4,0,11
a0C00000000E0s2,325,7.05,1,0,1,NA,0,1,0,2,1,0,11
a0C00000000q8Lb,326,4.81,1,0,1,NA,0,0,0,1,5,0,36
a0C00000003N46a,327,1.18,0,0,1,NA,0,1,0,1,0,1,20
a0C00000001Bbov,328,4.42,0,0,1,NA,1,0,0,1,4,1,10
a0C00000001B3a1,329,4.44,0,0,1,NA,1,0,0,1,4,0,4
a0C00000001Cyy6,330,4.38,0,0,1,NA,1,0,0,1,4,1,9
a0C00000002o4TI,331,2.21,0,0,1,NA,0,1,0,1,0,1,10
